SURVYEAR	FIPST	STABR	STATENAME	SEANAME	LEAID	ST_LEAID	LEA_NAME	SCHID	ST_SCHID	NCESSCH	SCH_NAME	MSTREET1	MSTREET2	MSTREET3	MCITY	MSTATE	MZIP	MZIP4	PHONE	LSTREET1	LSTREET2	LSTREET3	LCITY	LSTATE	LZIP	LZIP4	UNION	OUT_OF_STATE_FLAG	SCH_TYPE_TEXT	SCH_TYPE	RECON_STATUS	GSLO	GSHI	LEVEL	VIRTUAL	BIES	SY_STATUS_TEXT	SY_STATUS	UPDATED_STATUS_TEXT	UPDATED_STATUS	EFFECTIVE_DATE	CHARTER_TEXT	PKOFFERED	KGOFFERED	G1OFFERED	G2OFFERED	G3OFFERED	G4OFFERED	G5OFFERED	G6OFFERED	G7OFFERED	G8OFFERED	G9OFFERED	G10OFFERED	G11OFFERED	G12OFFERED	G13OFFERED	AEOFFERED	UGOFFERED	NOGRADES	CHARTAUTH1	CHARTAUTHN1	CHARTAUTH2	CHARTAUTHN2	IGOFFERED
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100016	606	Bryce Adolescent School	01828	1001	010001601828	Bryce Adolescent Sch	200 University			Tuscaloosa	AL	35401		2057590593	CPM C433 1717 6th Avenue South			Birmingham	AL	35294		000	N	Reportable Program	5	No	05	12	4	No	2	Open	1	Open	1	04FEB2015:11:27:07	Not Applicable	N	N	N	N	N	N	Y	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100018	207	Alabama School of Fine Arts	02328	4999	010001802328	Child Count Only	1800 Rev Abraham Woods Jr Blvd			Birmingham	AL	35203		2052529241	1800 Rev Abraham Woods Jr Blvd			Birmingham	AL	35203		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:45:30	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100021	619	Brewers Porch Childrens Center	01832	2150	010002101832	Brewer Porch Children's Ctr	P O Box 870156			Tuscaloosa	AL	35487		2053489342	2501 Woodland Rd.			Tuscaloosa	AL	35404		000	N	Reportable Program	5	No	N	N	N	No	2	Open	1	Open	1	04FEB2015:11:27:08	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100022	621	Three Springs Courtland Sch	01833	2059	010002201833	Three Springs Courtland Sch	P O Box 370			Courtland	AL	35618		2566372199	349 Madison Street			Courtland	AL	35618		000	N	Reportable Program	5	No	06	12	4	No	2	Open	1	Open	1	04FEB2015:11:27:08	Not Applicable	N	N	N	N	N	N	N	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100023	623	Three Springs Madison Sch	01834	2056	010002301834	Three Springs Madison Sch	1329 Brown's Ferry Road			Madison	AL	35758		2568950710	1329 Browns Ferry Road			Madison	AL	35758		000	N	Reportable Program	5	No	06	12	4	No	2	Open	1	Open	1	04FEB2015:11:27:09	Not Applicable	N	N	N	N	N	N	N	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100024	624	Three Springs New Beginnings	01835	2058	010002401835	Three Springs New Beginnings	318 Hamer Road			Owens Crossroads	AL	35763		3342429700	318 Hamer Rd			Owens Cross Roads	AL	35763		000	N	Reportable Program	5	No	06	12	4	No	2	Open	1	Open	1	04FEB2015:11:27:09	Not Applicable	N	N	N	N	N	N	N	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100026	626	Three Springs New Tuskegee	02352	2060	010002602352	Sequel TSI Tuskegee, LLC	4280 US Highway 29 South			Tuskegee	AL	36083		3347272216	4280 U S Highway 29 South			Tuskegee	AL	36083		000	N	Reportable Program	5	No	06	12	4	Yes	2	Open	1	Open	1	09APR2015:18:45:32	Not Applicable	N	N	N	N	N	N	N	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100028	628	Three Springs New Tuskegee	01839	2210	010002801839	Tri-will/Porta-cras School	P O Box 77			Green Pond	AL	35074		2059387855	65 Enterprise Loop			Green Pond	AL	35074		000	N	Reportable Program	5	No	N	N	N	No	2	Open	1	Open	1	04FEB2015:11:27:10	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100030	102	Alexander City	02313	4999	010003002313	Child Count Only	375 Lee St			Alexander City	AL	35010		2562345074	375 Lee Street			Alexander City	AL	35010		000	N	Reportable Program	5	No	PK	12	4	Yes	2	Open	1	Open	1	09APR2015:18:44:41	Not Applicable	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100033	648	Glenwood Mental Health Service	01843	2080	010003301843	Glenwood Mental Health Ser	150 Glenwood Lane			Birmingham	AL	35242		2059692880	150 Glenwood Lane			Birmingham	AL	35242		000	N	Reportable Program	5	No	N	N	N	No	2	Open	1	Open	1	04FEB2015:11:27:14	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100035	662	Learning Tree Inc	01845	2140	010003501845	Learning Tree Inc Semmes	P O Box 1306			Semmes	AL	36575		3346494420	4979 Lott Rd.			Eight Mile	AL	36575		000	N	Reportable Program	5	No	N	N	N	No	2	Open	1	Open	1	04FEB2015:11:27:16	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100035	662	Learning Tree Inc	01846	2141	010003501846	Learning Tree Inc Webb	P O Box 908			Jacksonville	AL	36243		2054479349	6344 Roy Webb Rd			Jacksonville	AL	36265		000	N	Reportable Program	5	No	N	N	N	No	2	Open	1	Open	1	04FEB2015:11:27:16	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100035	662	Learning Tree Inc	02105	2142	010003502105	The Learning Tree-Tallassee	P.O. Box 780639			Tallassee	AL	36978		3342429700	100 S Dubois Ave			Tallassee	AL	36078		000	N	Reportable Program	5	No	N	N	N	No	2	Open	1	Open	1	04FEB2015:11:27:16	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100035	662	Learning Tree Inc	02370	4999	010003502370	Woody's Song	P.O. Box 1306			Semmes	AL	36575		2513385947	5459 Able Court			Mobile	AL	36693		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:45:33	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100037	666	Bay Point Center	01848	2045	010003701848	BayPointe Behavior Health	5800 Southland Drive			Mobile	AL	36693		3344502223	5800 Southland Dr.			Mobile	AL	36693		000	N	Reportable Program	5	No	N	N	N	No	2	Open	1	Open	1	04FEB2015:11:27:17	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100039	680	Presbyterian Home For Children	01850	2020	010003901850	Hope Academy	P O Drawer 577			Talladega	AL	35161		2563620151	905 Ashland Hwy.			Talladega	AL	35160		000	N	Reportable Program	5	No	N	N	N	No	2	Open	1	Open	1	04FEB2015:11:27:18	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100042	687	Laurel Oaks Behavioral Health	01853	6012	010004201853	Laurel Oaks Behavioral Health Ctr	700 E Cottonwood Rd			Dothan	AL	36301		3347947373	700 E. Cottonwood Rd.			Dothan	AL	36301		000	N	Reportable Program	5	No	N	N	N	No	2	Open	1	Open	1	04FEB2015:11:27:19	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100043	695	Mountainview Hospital	01854	3070	010004301854	Mountainview Hospital	P O Box 3406			Gadsden	AL	35902		2568309913	3001 Scenic Hwy.			Gadsden	AL	35904		000	N	Reportable Program	5	No	N	N	N	No	2	Open	1	Open	1	04FEB2015:11:27:20	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100060	104	Andalusia City	02247	4999	010006002247	Child Count Only	122 6th Ave			Andalusia	AL	36420		3342223186	122 6th Ave			Andalusia	AL	36420		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:44:42	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100090	105	Anniston City	02314	4999	010009002314	Child Count Only	PO Box 1500			Anniston	AL	36202		2562315000	4804 McClellan Boulevard			Anniston	AL	36206		000	N	Reportable Program	5	No	KG	12	4	Yes	2	Open	1	Open	1	09APR2015:18:44:42	Not Applicable	N	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100100	106	Arab City	02295	4999	010010002295	Child Count Only	750 Arabian Dr NE			Arab	AL	35016		2565866011	750 Arabian Dr NE			Arab	AL	35016		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:44:43	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100120	107	Athens City	02348	4999	010012002348	Child Count Only	455 US Highway 31 North			Athens	AL	35611		2562336600	455 US Highway 31 North			Athens	AL	35611		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:44:44	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100178	703	Higdon Hill School	02374	0027	010017802374	Higdon Hill	6869 5th Ave S			Birmingham	AL	35212		2058384031	6869 5th Ave S			Birmingham	AL	35212		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:45:35	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100180	109	Attalla City	02252	4999	010018002252	Child Count Only	101 Case Ave SE			Attalla	AL	35954		2565388051	101 Case Ave			Attalla	AL	35954		000	N	Reportable Program	5	No	PK	12	4	Yes	2	Open	1	Open	1	09APR2015:18:44:44	Not Applicable	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100180	109	Attalla City	02287	5060	010018002287	Child Count Only	101 Case Ave			Atalla	AL	35954		2565388051	101 Case Ave			Atalla	AL	35954		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:44:45	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100185	187	Saraland City	02300	4999	010018502300	Child Count Only	943 Saraland Blvd S			Saraland	AL	36571		2513755426	None Provided			Saraland	AL	36571		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:45:19	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100185	187	Saraland City	02316	0030	010018502316	Child Count Only	943 Highway 43 South			Saraland	AL	36571		2513755426	943 Highway 43 South			Saraland	AL	36571		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	04FEB2015:11:26:09	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100186	639	Father Purcell Center	02335	3005	010018602335	Father Purcell Ctr	2048 W. Fairview Ave.			Montgomery	AL	36108		3348345590	1820 Oak St.			Montgomery	AL	36108		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:45:33	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100187	637	Father Walters Ctr	02371	3003	010018702371	Montgomery Children's Specialty Ctr	2853 Forbes Dr.			Montgomery	AL	36110		3342613445	2853 Forbes Dr.			Montgomery	AL	36110		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:45:32	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100188	121	Chickasaw City	02290	4999	010018802290	Child Count Only	P O Box 11493			Chickasaw	AL	36611		2513808114	201 N Craft HWY			Chickasaw	AL	36611		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:44:49	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100189	196	Satsuma City	02282	4999	010018902282	Child Count Only	P O Box 939			Satsuma	AL	36572		2513808200	nonesupplied			Satsuma	AL	36572		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:45:25	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100191	717	Evergreen School	02305	0002	010019102305	Evergreen Sch	The University of Alabama, Wor			Tuscaloosa	AL	35487		2053432865	The University of Alabama, Wor			Tuscaloosa	AL	35405		000	N	Reportable Program	5	No	06	12	4	Yes	2	Open	1	Open	1	09APR2015:18:45:35	Not Applicable	N	N	N	N	N	N	N	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100192	718	McInnis School	01694	0002	010019201694	McInnis Sch	3500 McInnis Rd.			Montgomery	AL	36116		3342882280	3500 McInnis Rd.			Montgomery	AL	36116		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:45:36	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100193	693	St. Marys Home	02341	3090	010019302341	St Mary's Home	4350 Moffett Rd			Mobile	AL	36618		2513447733	4350 Moffett Road			Mobile	AL	36618		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:45:34	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100194	177	Pelham City	02408	4999	010019402408	Child County Only	3162 Pelham Parkway			Pelham	AL	35124		2056243700	3162 Pelham Parkway			Pelham	AL	35124		000	N	Reportable Program	5	No	N	N	N	Yes	2	Added	4	Added	4	09APR2015:18:45:11	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100210	110	Auburn City	02239	4999	010021002239	Child Count Only	PO Box 3270			Auburn	AL	36831		3348872100	855 E Samford Ave			Auburn	AL	36830		000	N	Reportable Program	5	No	PK	12	4	Yes	2	Open	1	Open	1	09APR2015:18:44:46	Not Applicable	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100240	001	Autauga County	02260	4999	010024002260	Child Count Only	153 W 4th St			Prattville	AL	36067		3343655706	None Provided			Prattville	AL	36067		000	N	Reportable Program	5	No	KG	12	4	Yes	2	Open	1	Open	1	09APR2015:18:43:52	Not Applicable	N	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100270	002	Baldwin County	02343	4999	010027002343	Child Count Only	2600A Hand Ave			Bay Minette	AL	36507		2519370308	2600-A N Hand Ave			Bay Minette	AL	36507		000	N	Reportable Program	5	No	PK	12	4	Yes	2	Open	1	Open	1	09APR2015:18:43:55	Not Applicable	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100300	003	Barbour County	02330	4999	010030002330	Child Count Only	PO Box 429			Clayton	AL	36016		3347753453	100 Court Square Courthouse			Clayton	AL	36016		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:43:56	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100330	113	Bessemer City	02298	4999	010033002298	Child Count Only	PO Box 1230			Bessemer	AL	35021		2054323000	1621 5th Ave N			Bessemer	AL	35020		000	N	Reportable Program	5	No	PK	PK	1	Yes	2	Open	1	Open	1	09APR2015:18:44:46	Not Applicable	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
